"After switching please reindex the<br /><em>Catalog Search Index</em>.","Na omschakelen moet de <br /><em>Catalogus zoekopdracht index</em> ververst worden."
"Authentication Required","Wachtwoord Beveiliging"
"Auto Correct Search Terms","Automatische Spelcorrectie"
"Connecting...","Bezig met verbinding maken..."
"Connection Test","Test van Verbinding"
"Error reindexing Solr: %s","Fout bij vullen Solr Index: %s"
"ERROR","FOUT OPGETREDEN"
"FAILED","MISLUKT"
"General Timeout (seconds)","Timeout Algemeen (seconden)"
"Hostname or IP","Host naam of IP"
"Java version","Java versie"
"Maximum Number of Results","Maximum Aantal Zoekresultaten"
"Nr of Autocomplete Suggestions","Aantal Zoeksuggesties"
"Port Number","Poort Nummer"
"POWERED BY SOLARIUM","AANGEDREVEN DOOR SOLARIUM"
"Search Results","Zoekresultaten"
"Search Timeout (seconds)","Timeout voor Zoeken (seconden)"
"Solarium Search is not enabled via System Configuration.","Zoeken via Solarium is niet ingeschakeld in de systeem configuratie."
"Solr %s error, incorrect object received.","Solr fout bij %s, ongeldig object ontvangen."
"Solr %s error, status: %d, query time: %d","Solr fout bij %s, status: %d, verwerkingstijd: %d"
"Solr Core","Solr Kern"
"Solr Index was rebuilt in %s seconds.","De Solr Index is gevuld in %s seconden."
"Solr Server","Solr Server"
"Solr version","Solr versie"
"Success","Succesvol"
"Test Connection","Verbinding Testen"
"unknown","onbekend"
"Updates to Post At Once","Aantal Updates per Keer"
